2025-04-01 22:23:04: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.8897, num_s1: 7940, num_s2: 30, num_s_per_node: 7970
2025-04-02 05:20:34: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=512, max_test_accuracy=0.2204, num_s1: 126965, num_s2: 1024, num_s_per_node: 127989
2025-04-02 05:28:41: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=512, max_test_accuracy=0.2206, num_s1: 127040, num_s2: 1564, num_s_per_node: 128604
2025-04-02 05:36:38: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=512, max_test_accuracy=0.2454, num_s1: 126918, num_s2: 1595, num_s_per_node: 128513
2025-04-02 05:44:28: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=512, max_test_accuracy=0.0482, num_s1: 127337, num_s2: 2559, num_s_per_node: 129896
2025-04-02 05:52:41: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=512, max_test_accuracy=0.2204, num_s1: 126431, num_s2: 3583, num_s_per_node: 130014
2025-04-02 06:00:34: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=512, max_test_accuracy=0.1196, num_s1: 126805, num_s2: 2048, num_s_per_node: 128853
2025-04-02 06:08:32: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=512, max_test_accuracy=0.2544, num_s1: 126897, num_s2: 1108, num_s_per_node: 128005
2025-04-02 06:16:29: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=512, max_test_accuracy=0.2204, num_s1: 127370, num_s2: 2560, num_s_per_node: 129930
2025-04-02 06:24:34: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=512, max_test_accuracy=0.1196, num_s1: 127386, num_s2: 1028, num_s_per_node: 128414
2025-04-02 06:32:43: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=512, max_test_accuracy=0.2243, num_s1: 127306, num_s2: 1696, num_s_per_node: 129002
2025-04-02 06:32:43: sgc; amazon_photo; best_score, std, best_params 0.9035403050108933 0.00866304194637694 {'T': 128, 'learning_rate': 0.0015}

